log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.26,0.975,3.36,5.27989,5.15685,4.656106,4.020443,0.11632,7.251304,6.377551877246239,114.99765912218419,5.4849288712351965e-06,1.2599781098633677e-06,0.0,LB
1.26,0.975,3.38,5.281794,5.1492,4.452672,3.978983,0.190799,7.289749,17.885208196088183,137.9920288570768,4.964242633208287e-06,1.9145909423575976e-06,0.0,LB
1.26,0.875,3.4,5.284163,4.889339,4.51593,4.440311,0.1429772,7.283878,12.993405733860556,12.226495715372097,5.206129898266695e-06,5.6533906981651085e-08,0.0,LB
1.26,0.925,3.4,5.283375,4.971163,4.413382,4.414153,0.2167634,7.308184,21.49869012644767,15.154373959930025,4.875004265152858e-06,3.9472624207999963e-07,0.0,LB
1.26,0.975,3.4,5.273966,5.024232,4.139948,3.519228,0.2928106,7.328778,77.79165301086454,992.9011186661749,4.522108726339811e-06,6.785892884293199e-06,0.0,LB
1.26,0.875,3.42,5.282129,4.88543,4.448862,4.438776,0.1902314,7.301543,18.254208216525775,12.257954359663385,4.952243606757315e-06,5.492587699794933e-08,0.0,LB
1.26,0.925,3.42,5.287525,4.964657,4.128207,4.410016,0.291742,7.34921,81.43929398210696,15.330382823556914,4.674648923988262e-06,8.160560709252994e-07,0.0,LB
1.26,0.975,3.42,5.279677,5.013861,4.145752,3.517065,0.288235,7.330888,71.23558579385673,990.9346165808763,4.669463661462992e-06,6.559503981356581e-06,0.0,LB
1.26,0.675,3.44,5.290802,4.512364,4.798293,4.471273,0.08577655,7.324913,3.594821247822347,6.868963363229435,6.180704778475409e-06,1.482077793038398e-08,0.0,LB
1.26,0.825,3.44,5.283324,4.79445,4.467496,4.459105,0.174634,7.301509,16.74206408572091,10.052474960471335,5.004019575900654e-06,4.4836427359419544e-08,0.0,LB
1.26,0.875,3.44,5.283408,4.881372,4.141854,4.437238,0.290968,7.335455,74.27351886117408,12.28748498094002,4.668979853844756e-06,5.333398077061622e-08,0.0,LB
1.26,0.925,3.44,5.288891,4.957953,4.126208,4.406216,0.28899,7.357944,82.53287996969911,15.481213500120479,4.659185481576513e-06,7.922367783928597e-07,0.0,LB
1.26,0.975,3.44,5.288656,5.027619,4.131651,3.514215,0.2853364,7.356208,80.0117925009075,1020.0559654120178,4.692885952229516e-06,7.0144076212596915e-06,0.0,LB
1.26,0.775,3.46,5.279184,4.708761,4.892853,4.472537,0.05159492,7.255826,2.276159019830408,8.561715649295966,7.225335202981935e-06,3.481544896324731e-08,0.0,LB
1.26,0.825,3.46,5.285939,4.788864,4.135216,4.457716,0.2910651,7.336657,79.13598274744166,10.052104620429425,4.683591401304324e-06,4.339323216902692e-08,0.0,LB
1.26,0.875,3.46,5.28768,4.874423,4.132433,4.434807,0.289098,7.354605,80.31487726150257,12.326733307660424,4.677082170630521e-06,5.079816214661283e-08,0.0,LB
1.26,0.925,3.46,5.28784,4.952468,4.133834,4.402818,0.2853144,7.356849,79.74509871738795,15.626150398888878,4.679473584082533e-06,7.732376637728606e-07,0.0,LB
1.26,0.975,3.46,5.289399,5.042611,4.131797,3.511102,0.2773777,7.37618,80.72368889783252,1052.8099966356067,4.6833972867076795e-06,7.5465073609940636e-06,0.0,LB
1.26,0.675,3.48,5.288779,4.504271,4.129226,4.470374,0.2826859,7.367136,81.65560482773357,6.83348585835662,4.687054463018025e-06,1.4274338784249131e-08,0.0,LB
1.26,0.725,3.48,5.277774,4.622237,4.444467,4.477301,0.2061501,7.255223,18.507638156337713,7.581762919769812,4.9437784490124896e-06,2.4907549380378067e-08,0.0,LB
1.26,0.775,3.48,5.285189,4.70243,4.154083,4.471021,0.2860626,7.31967,72.77043985717353,8.559054662258646,4.698908627029173e-06,3.358876222434488e-08,0.0,LB
1.26,0.825,3.48,5.287443,4.781847,4.137506,4.456045,0.2875176,7.346593,78.97324800377369,10.048193736776687,4.6804434243209485e-06,4.168799422535626e-08,0.0,LB
1.26,0.875,3.48,5.288521,4.869002,4.130212,4.432937,0.2868636,7.360054,81.51583846047029,12.356002855617943,4.689494166987182e-06,4.894439899207519e-08,0.0,LB
1.26,0.925,3.48,5.291633,4.94328,4.118804,4.396573,0.2830853,7.379978,85.55216414147391,15.912631293645493,4.675639296361037e-06,7.424616052550177e-07,0.0,LB
1.26,0.975,3.48,5.289163,4.992809,3.826548,3.515408,0.412134,7.461738,330.29728206213366,974.6080629810075,6.272504766373101e-06,6.059084371504063e-06,0.0,LB
1.26,0.675,3.5,5.294,4.4693,3.928502,4.4604,0.3229978,7.453822,207.36143994560234,6.872352065858518,4.299658864845602e-06,1.1404703527527282e-08,0.0,LB
1.26,0.725,3.5,5.295425,4.588759,4.1103,4.464867,0.2702459,7.431062,90.02974084324487,7.725053574321829,4.653653032618189e-06,1.9704798583623447e-08,0.0,LB
1.26,0.775,3.5,5.288874,4.690161,4.122648,4.464243,0.2890103,7.360045,83.95257086457255,8.70688884201203,4.673023876195312e-06,3.0290887638255085e-08,0.0,LB
1.26,0.825,3.5,5.289048,4.772151,4.130171,4.453537,0.2822824,7.362171,80.94238557664139,10.05205832888351,4.6897533251726215e-06,3.93729540505134e-08,0.0,LB
1.26,0.875,3.5,5.291508,4.859533,4.113788,4.429767,0.2853319,7.384206,87.91480152856751,12.401750788217104,4.672894757557763e-06,4.593291420259046e-08,0.0,LB
1.24,0.875,3.32,5.22334,4.849794,4.886529,4.440753,0.03546006,6.770784,2.1554681006646184,11.658589204127733,6.699848772303006e-06,4.810807728642458e-08,0.0,LB
1.24,0.825,3.34,5.222226,4.760346,4.908062,4.46578,0.01464188,6.768796,1.9364968728381096,9.372721227204657,7.221160535238676e-06,4.120756952143258e-08,0.0,LB
1.24,0.875,3.34,5.228763,4.846791,4.663834,4.439693,0.104179,6.792092,6.067300428419504,11.675218041059196,4.876710780816331e-06,4.7090467282149606e-08,0.0,LB
