log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f450w,a2d7,cont#50180",Z,eps,"wfpc2,2,f606w,a2d7,cont#50180","wfpc2,2,f814w,a2d7,cont#50180"
1.24,0.725,1.3,5.220653,4.402875,4.952377,4.46846,0.02778787,6.55547,1.6987352546619072,6.134439674395181,3.5107265205248887e-06,3.8690647692870094e-09,0.0,EB,15.514630559168626 VEGAMAG,0.005,0.1,16.886876796702424 VEGAMAG,18.922976735876198 VEGAMAG
1.24,0.775,1.3,5.22158,4.517682,4.950174,4.468279,0.03172332,6.562918,1.7167292230905615,7.007122338847365,3.488799408227064e-06,6.367720609260873e-09,0.0,EB,14.585792477142832 VEGAMAG,0.005,0.1,16.872538791796494 VEGAMAG,18.90183088857741 VEGAMAG
1.24,0.825,1.3,5.222323,4.627952,4.948001,4.462995,0.03668839,6.566174,1.7353037288403768,8.151550060629233,3.4642960608332e-06,9.832455736719708e-09,0.0,EB,13.850145239499517 VEGAMAG,0.005,0.1,16.857783845068372 VEGAMAG,18.880750014135387 VEGAMAG
1.24,0.875,1.3,5.222733,4.73891,4.946835,4.447242,0.03799644,6.569638,1.7443783986950616,9.95916665862968,3.454204137151277e-06,1.3813476716660825e-08,0.0,EB,13.541567160599339 VEGAMAG,0.005,0.1,16.851186370463267 VEGAMAG,18.870097014074464 VEGAMAG
1.24,0.925,1.3,5.222906,4.852015,4.946154,4.414901,0.03973731,6.570133,1.7511369016520049,13.166004524455486,3.44474437784715e-06,1.6169701399178354e-08,0.0,EB,13.381152042847013 VEGAMAG,0.005,0.1,16.845503752801893 VEGAMAG,18.861288676985907 VEGAMAG
1.24,0.575,1.4,5.218268,4.041422,4.955864,4.444572,0.01619721,6.542031,1.6645172489717242,4.516738006190175,3.5571321513458788e-06,6.558628018517346e-10,0.0,EB,17.03807802743019 VEGAMAG,0.005,0.1,16.91824476871598 VEGAMAG,18.95966133609167 VEGAMAG
1.24,0.625,1.4,5.220149,4.167307,4.952977,4.455328,0.02502906,6.554376,1.6915961965829875,4.968842146417994,3.52225666827664e-06,1.2464073461305784e-09,0.0,EB,15.791438804007187 VEGAMAG,0.005,0.1,16.893824559598578 VEGAMAG,18.93108568494408 VEGAMAG
1.24,0.675,1.4,5.221616,4.286698,4.949858,4.463626,0.0322784,6.562944,1.718472552646712,5.487241823054851,3.4870726853098103e-06,2.2447294273587e-09,0.0,EB,14.467376273407666 VEGAMAG,0.005,0.1,16.871587847413892 VEGAMAG,18.89974792875636 VEGAMAG
1.24,0.725,1.4,5.222248,4.402691,4.948098,4.468413,0.03688275,6.565471,1.737533153413129,6.134456624501817,3.4613777685486345e-06,3.864310366486266e-09,0.0,EB,13.874958817630334 VEGAMAG,0.005,0.1,16.854609547822704 VEGAMAG,18.87781406139245 VEGAMAG
1.24,0.775,1.4,5.222623,4.517569,4.946553,4.468251,0.03782588,6.570211,1.7460710027159476,7.007098137145997,3.4515883939991485e-06,6.3630304274635025e-09,0.0,EB,13.474509915633622 VEGAMAG,0.005,0.1,16.850211636260756 VEGAMAG,18.867882592063555 VEGAMAG
1.24,0.825,1.4,5.223282,4.627865,4.944712,4.462972,0.04158474,6.572867,1.7630198415249192,8.151604492760166,3.427330612177477e-06,9.826684214454974e-09,0.0,EB,13.078509806277193 VEGAMAG,0.005,0.1,16.836407409141433 VEGAMAG,18.84568668412696 VEGAMAG
1.24,0.875,1.4,5.22399,4.738818,4.943175,4.447204,0.04398498,6.57792,1.7781782753152906,9.95984775723048,3.4107744418505667e-06,1.3802793796641946e-08,0.0,EB,12.77029473826377 VEGAMAG,0.005,0.1,16.82383730489533 VEGAMAG,18.83051263052723 VEGAMAG
1.24,0.925,1.4,5.224158,4.851909,4.940766,4.414856,0.0458728,6.580681,1.795441668317869,13.167126258531075,3.387505429726024e-06,1.6154034274427804e-08,0.0,EB,12.277814336394124 VEGAMAG,0.005,0.1,16.812335304815843 VEGAMAG,18.81501250882421 VEGAMAG
1.24,0.525,1.5,5.218761,3.907311,4.955394,4.431316,0.01825841,6.54556,1.6692473675059532,4.1141744236117,3.552204826277769e-06,3.232436484486039e-10,0.0,EB,16.855673011678874 VEGAMAG,0.005,0.1,16.91380560270705 VEGAMAG,18.95453782765429 VEGAMAG
1.24,0.575,1.5,5.220206,4.041129,4.952482,4.444497,0.0258933,6.554324,1.6935327516867105,4.516766086746188,3.519119381867721e-06,6.545291605747889e-10,0.0,EB,15.566395151107251 VEGAMAG,0.005,0.1,16.89315030590601 VEGAMAG,18.929456439806774 VEGAMAG
1.24,0.625,1.5,5.22184,4.167093,4.949373,4.455272,0.0338277,6.563882,1.7230405569609513,4.968890199614146,3.4796855526155185e-06,1.2445833880907626e-09,0.0,EB,14.290883851761283 VEGAMAG,0.005,0.1,16.867749819004374 VEGAMAG,18.894191142001496 VEGAMAG
1.24,0.675,1.5,5.222084,4.286585,4.946718,4.463594,0.03699306,6.569534,1.7387141959960843,5.487341639208362,3.457673647571744e-06,2.242967599070337e-09,0.0,EB,13.521315821825567 VEGAMAG,0.005,0.1,16.858720311386296 VEGAMAG,18.877131319589353 VEGAMAG
1.24,0.725,1.5,5.223719,4.402537,4.943121,4.468369,0.04301766,6.576305,1.7769454675396377,6.134603527387865,3.410766588261222e-06,3.860237274794764e-09,0.0,EB,12.761580618548429 VEGAMAG,0.005,0.1,16.825561798695453 VEGAMAG,18.832165763061997 VEGAMAG
1.24,0.775,1.5,5.224081,4.517437,4.942097,4.46821,0.04512239,6.579743,1.7908169652234105,7.007351452428253,3.3940559714472646e-06,6.356967630195161e-09,0.0,EB,12.548144573883377 VEGAMAG,0.005,0.1,16.812761241510504 VEGAMAG,18.817799719311207 VEGAMAG
1.24,0.825,1.5,5.224446,4.627754,4.939756,4.462943,0.04870022,6.581045,1.8065891598937736,8.151666433213359,3.375025045451968e-06,9.819197604748512e-09,0.0,EB,12.060206116060089 VEGAMAG,0.005,0.1,16.80282597148174 VEGAMAG,18.802899404246194 VEGAMAG
1.24,0.875,1.5,5.224809,4.738725,4.938292,4.447183,0.04983659,6.585837,1.823049664079725,9.95971015779914,3.3594640653404477e-06,1.3794469395759121e-08,0.0,EB,11.745692159500011 VEGAMAG,0.005,0.1,16.78905493006812 VEGAMAG,18.783327990237222 VEGAMAG
1.24,0.925,1.5,5.225216,4.851886,4.936655,4.414797,0.05218391,6.58714,1.8292678433757708,13.170340404195732,3.349307330667085e-06,1.6141987252274234e-08,0.0,EB,11.418001134992519 VEGAMAG,0.005,0.1,16.78799839758242 VEGAMAG,18.77629962909722 VEGAMAG
1.24,0.475,1.6,5.218378,3.763929,4.95581,4.415661,0.01674925,6.543658,1.6650991534003958,3.748875346699944,3.5568782518242484e-06,1.4803452005558016e-10,0.0,EB,17.018757419771298 VEGAMAG,0.005,0.1,16.917683003870373 VEGAMAG,18.95902024893991 VEGAMAG
1.24,0.525,1.6,5.220526,3.907019,4.952429,4.431241,0.0271289,6.55629,1.6955148583693282,4.114195264785224,3.5166488125875105e-06,3.2256259179072637e-10,0.0,EB,15.540997707673082 VEGAMAG,0.005,0.1,16.890805495245992 VEGAMAG,18.927007715959405 VEGAMAG
1.24,0.575,1.6,5.221765,4.040915,4.949568,4.444443,0.03269909,6.563752,1.721884434054692,4.5167868872706025,3.479990032275147e-06,6.535457578418576e-10,0.0,EB,14.361652066407284 VEGAMAG,0.005,0.1,16.868429022034462 VEGAMAG,18.895577396196018 VEGAMAG
1.24,0.625,1.6,5.223146,4.166931,4.946022,4.45523,0.03933609,6.572477,1.752923244517231,4.968919947063697,3.440883747922531e-06,1.2431799579747294e-09,0.0,EB,13.351269659535747 VEGAMAG,0.005,0.1,16.843809728798487 VEGAMAG,18.858933831442123 VEGAMAG
1.24,0.675,1.6,5.224077,4.286413,4.942454,4.46355,0.04468671,6.578597,1.7839324276108008,5.487373226976925,3.4048422861820416e-06,2.240350662642111e-09,0.0,EB,12.625823576781446 VEGAMAG,0.005,0.1,16.81971105484932 VEGAMAG,18.825321833182816 VEGAMAG
1.24,0.725,1.6,5.224687,4.4024,4.93804,4.468333,0.05023186,6.584014,1.8226202871824464,6.134661441992438,3.3582111558302403e-06,3.8566302200136405e-09,0.0,EB,11.696059146571855 VEGAMAG,0.005,0.1,16.790570032251967 VEGAMAG,18.783793684645328 VEGAMAG
